district,total_listings,ao_count,median_revpar_ao,dormant_count,superhost_rate,median_pop,dormant_ratio,supply_share
Dobong-gu,183,71,34427.7,112,0.4644808743169399,258262.0,0.6120218579234973,0.005707869374005801
Dongdaemun-gu,862,337,26403.1,519,0.3294663573085847,362689.0,0.6020881670533643,0.026886248089579238
Dongjak-gu,806,242,25835.75,555,0.2679900744416873,379647.0,0.6885856079404467,0.02513957768004741
Eunpyeong-gu,376,189,33778.1,186,0.3696808510638298,422863.0,0.4946808510638298,0.011727644178285144
Gangbuk-gu,262,122,29734.4,137,0.5229007633587787,267641.0,0.5229007633587787,0.008171922273166776
Gangdong-gu,351,198,36543.899999999994,152,0.5982905982905983,528144.0,0.43304843304843305,0.010947880602601292
Gangnam-gu,3097,1178,53051.6,1905,0.3580884727155312,863150.0,0.6151113981272199,0.09659711175571567
Gangseo-gu,738,361,30328.0,373,0.4715447154471545,546936.0,0.505420054200542,0.02301862075418733
Geumcheon-gu,147,33,26423.3,113,0.3401360544217687,229786.0,0.7687074829931972,0.004585009825021053
Guro-gu,280,118,29149.5,157,0.36428571428571427,414688.0,0.5607142857142857,0.008733352047659149
Gwanak-gu,1165,476,25953.35,681,0.36394849785407724,470739.0,0.5845493562231759,0.036336982626867534
Gwangjin-gu,816,414,44277.55,400,0.4877450980392157,373225.0,0.49019607843137253,0.02545148311032095
Jongno-gu,2640,1416,54514.55,1217,0.4166666666666667,302528.0,0.4609848484848485,0.08234303359221484
Jung-gu,3589,1704,52939.0,1868,0.3948174979102814,315657.0,0.5204792421287266,0.11194285892517389
Jungnang-gu,144,48,34793.25,96,0.5486111111111112,335209.0,0.6666666666666666,0.004491438195938991
Mapo-gu,6699,3270,63365.5,3396,0.45977011494252873,467351.0,0.5069413345275414,0.20894544774024515
Nowon-gu,194,75,39073.9,116,0.44329896907216493,466409.0,0.5979381443298969,0.006050965347306697
Seocho-gu,1596,606,50898.85,981,0.3840852130325815,588202.0,0.6146616541353384,0.04978010667165715
Seodaemun-gu,1754,699,34261.2,1044,0.3312428734321551,385503.0,0.5952109464082098,0.0547082124699791
Seongbuk-gu,632,290,35789.399999999994,337,0.4477848101265823,427001.0,0.5332278481012658,0.019712423193287795
Seongdong-gu,579,238,53493.85,341,0.45595854922279794,353653.0,0.5889464594127807,0.018059324412838026
Songpa-gu,1034,403,49550.5,624,0.4410058027079304,744624.0,0.6034816247582205,0.032251021490284144
Yangcheon-gu,196,99,35881.1,94,0.3877551020408163,364347.0,0.47959183673469385,0.0061133464333614045
Yeongdeungpo-gu,1051,424,38798.55,613,0.4081826831588963,516461.0,0.5832540437678402,0.03278126072174917
Yongsan-gu,2870,1388,58082.8,1470,0.38989547038327527,293254.0,0.5121951219512195,0.08951685848850628
