district,cluster,cluster_name,district_median_revpar,district_listing_count,district_superhost_rate,district_entire_home_rate,ttm_pop
Dobong-gu,1,로컬 주거형,34427.7,71,0.5915492957746479,0.9859154929577465,258262
Dongdaemun-gu,2,가성비 신흥형,26403.1,337,0.4836795252225519,0.6913946587537092,362689
Dongjak-gu,2,가성비 신흥형,25835.75,242,0.45454545454545453,0.7479338842975206,379647
Eunpyeong-gu,1,로컬 주거형,33778.1,189,0.4656084656084656,0.7777777777777778,422863
Gangbuk-gu,1,로컬 주거형,29734.4,122,0.6475409836065574,0.7540983606557377,267641
Gangdong-gu,1,로컬 주거형,36543.899999999994,198,0.7121212121212122,0.9040404040404041,528144
Gangnam-gu,3,프리미엄 비즈니스,53051.6,1178,0.5186757215619694,0.8641765704584041,863150
Gangseo-gu,1,로컬 주거형,30328.0,361,0.6620498614958449,0.8337950138504155,546936
Geumcheon-gu,2,가성비 신흥형,26423.3,33,0.36363636363636365,0.696969696969697,229786
Guro-gu,2,가성비 신흥형,29149.5,118,0.5423728813559322,0.7796610169491526,414688
Gwanak-gu,2,가성비 신흥형,25953.35,476,0.5147058823529411,0.8067226890756303,470739
Gwangjin-gu,1,로컬 주거형,44277.55,414,0.5845410628019324,0.8671497584541062,373225
Jongno-gu,3,프리미엄 비즈니스,54514.55,1416,0.5621468926553672,0.6038135593220338,302528
Jung-gu,3,프리미엄 비즈니스,52939.0,1704,0.5475352112676056,0.6126760563380281,315657
Jungnang-gu,1,로컬 주거형,34793.25,48,0.5625,0.9375,335209
Mapo-gu,0,핫플 수익형,63365.5,3270,0.6168195718654435,0.7755351681957187,467351
Nowon-gu,1,로컬 주거형,39073.9,75,0.6133333333333333,0.84,466409
Seocho-gu,3,프리미엄 비즈니스,50898.85,606,0.5412541254125413,0.8184818481848185,588202
Seodaemun-gu,2,가성비 신흥형,34261.2,699,0.5579399141630901,0.592274678111588,385503
Seongbuk-gu,1,로컬 주거형,35789.399999999994,290,0.5586206896551724,0.7310344827586207,427001
Seongdong-gu,1,로컬 주거형,53493.85,238,0.6050420168067226,0.8487394957983193,353653
Songpa-gu,1,로컬 주거형,49550.5,403,0.5806451612903226,0.8759305210918115,744624
Yangcheon-gu,1,로컬 주거형,35881.1,99,0.48484848484848486,0.8484848484848485,364347
Yeongdeungpo-gu,1,로컬 주거형,38798.55,424,0.5566037735849056,0.7641509433962265,516461
Yongsan-gu,3,프리미엄 비즈니스,58082.8,1388,0.526657060518732,0.787463976945245,293254
